18:4:26,Jorge Aragão é internado na UTI com pneumonia causada por covid-19 https://t.co/tQaeyz33bZ https://t.co/1UXwK2Mjpm,42
18:4:40,Só queria a vicina da covid e uma resenha,43
18:4:44,RT @radioitatiaia: ⚽️ #Cruzeiro: zagueiro Manoel testou positivo pra Covid. Fora dos próximos jogos. (Via @samuelvenancio),44
18:4:48,RT @Metropoles: O cantor Jorge Aragão testou positivo para Covid-19 e foi internado na Unidade de Terapia Intensiva (UTI) de um hospital na…,45
18:4:50,Tocantins tem 72.594 infectados e 1.044 mortes pela Covid-19 https://t.co/G9wYvpjUi5,46
18:4:52,#Amoêdo defende vacina obrigatória para covid e isolamento para quem se opor. https://t.co/vh4kgAn72k,47
18:4:53,Pinóquio está tremendo pela concorrência.,48
18:5:3,"O chefe desta bosta @partidonovo30 está ao lado do #DoriaCorrupto contra o povo, como sempre.",49
18:5:19,Qual é afinal a posição da OMS sobre o confinamento contra a Covid-19? https://t.co/qjfz880s3y,50
18:5:20,"RT @MiguelNicolelis: O Brasil precisa se preparar já para a 2nda onda da COVID-19. É preciso organizar-se a nível nacional: formar, treinar…",51
18:5:27,@Metropoles @euleodias Acho q a vida deve continuar! O mundo não pode parar e o povo tem q viver! Quem tem medo do… https://t.co/610eoypDAF,52
18:5:39,Influencer morre de Covid-19 após dizer que vírus não existia https://t.co/SiN3lCeEMe https://t.co/Kgo7AZigWA,53
18:5:42,Grande movimento em praças de BH revela isolamento menos rígido https://t.co/dcJhRn6UMd https://t.co/jY1k3RnccA,54
18:5:58,Desce pro saco????,55
18:6:5,RT @exame: Jorge Aragão está internado na UTI com covid-19 https://t.co/xZNwtWgpEU,56
18:6:10,"Neste dia do médico, quero me comprometer com os médicos servidores públicos da nossa cidade. Gente que esteve na l… https://t.co/PXbyeXPNp2",57
18:6:21,"RT @bossito: Marques Mendes, contador de downloads. https://t.co/Jj7C9lQNEP",58
18:6:21,"Assim como o governador de São Paulo, João Doria,  João Amoêdo, fundador do partido Novo, defendeu neste domingo (1… https://t.co/zEIp1puZ3P",59
18:6:22,"Pior época para ter os Governos (Federal, Estadual e Municipal) que temor.   https://t.co/UPA5VfOkp0",60
18:6:54,Europa ultrapassa 250.000 mortes por covid-19 e tenta se proteger https://t.co/bsrFIPftNv via @YahooBr,61
18:7:22,Acho q a vida deve continuar! O mundo não pode parar e o povo tem q viver! Quem tem medo do Covid.. 'fique em casa'… https://t.co/iz7u9xCQZ5,62
18:8:8,RT @exame: Jorge Aragão está internado na UTI com covid-19 https://t.co/xZNwtWgpEU,63
18:8:33,"RT @lucasidms: A fase do Cruzeiro é um negocio inexplicável, puta merda viu  Quando o MANOEL encaixa uma sequencia boa de jogos aí o cara v…",64
18:8:51,"Covid: Ivermectina e HcQ reduzem mortalidade em pacientes graves, aponta estudo norte-americano https://t.co/J3onFYAvQq via @estudosn",65
18:8:59,Dados de covid-19 ficam inalterados em São Mateus neste domingo https://t.co/IkXt1x3FIe,66
18:9:33,Jorge Aragão é internado em UTI com Covid-19 | Rio de Janeiro | G1 https://t.co/gC1OmXUqZG,67
18:9:46,"Na sexta-feira (16), Doria (PSDB), afirmou que, quando a vacina contra o coronavírus estiver disponível, a imunizaç… https://t.co/opg9UyQ6g9",68
18:9:59,"RT @brasildefato: MAISLIDAS | Apesar de estarem entre os dez estados com o maior número de vítimas fatais do novo coronavírus, São Paulo, R…",69
18:10:23,"🇧🇷 Brasil | 10.982 novos casos e 230 novas mortes por #coronavirus, país tem agora 5.235.344 infectados e 153.905 ó… https://t.co/STkcEQsIc6",70
18:10:24,RT @brasil247: Cuba anuncia segunda vacina contra Covid-19 em fase de testes https://t.co/Te5yEqKHYa,71
18:10:55,RT @exame: Jorge Aragão está internado na UTI com covid-19 https://t.co/xZNwtWgpEU,72
18:11:2,"RT @LiraNeto_: Aqui, na Europa, está claro que começou a segunda onda. Índices de contaminação de Covid-19 só aumentam. Governos discutem c…",73
18:11:15,RT @canalCCore2: Bolsonaro tem razão  A OMS acabou (acidentalmente) de confirmar que COVID não é mais perigoso que a gripe  https://t.co/99…,74
18:11:35,"chorei hj no trabalho lendo depoimentos de médicos da linha de frente no combate ao covid, homenagem pelo dia do mé… https://t.co/qxssVzyn6o",75
