9:9:56,161277996,"RT @gazeta_brasil: Vermífugo Annita “é capaz de reduzir a carga viral da Covid-19”, anuncia Marcos Pontes  https://t.co/mhpH4Vidy5",40
9:10:9,1209239330985824256,Presidente do TCU testa positivo para Covid-19... https://t.co/AhVw7qn9yn,41
9:10:9,54527239,Maguito Vilela testa positivo para Covid-19  📲 Leia Agora no #OPOPULAR https://t.co/LVi8lAx4Gb,42
9:10:9,2325701659,"A Argentina ultrapassou nessa segunda (19) a barreira de 1 milhão de casos do novo #coronavírus, informou o governo… https://t.co/dr8LR7Rblq",43
9:10:11,64190300,Roraima chega a 686 mortos e 54.459 infectados pelo coronavírus https://t.co/4QNX8IQWh8 150 #ariquemesonline #ultimasnoticias #emrondonia,44
9:10:22,70803728,"Em situações de crises e emergências, como a pandemia de covid-19, o abandono e evasão escolares podem se agravar.… https://t.co/cTQ7EZvdbS",45
9:10:22,2885049471,RT @dimacgarcia: Vocês não tem a noção da importância desse resultado do novo medicamento contra o covid.  Isso salvará o Brasil de um novo…,46
9:10:28,33387806,"RT @UOLNoticias: Annita contra coronavírus: o que se sabe sobre vermífugo nitazoxanida, defendido pelo ministro da Ciência para tratamento…",47
9:10:38,3310858233,"E a mídia de esquerda no Brasil, e o Papa comuna, nada!",48
9:10:39,52084139,RT @ariquemesonline: Roraima chega a 686 mortos e 54.459 infectados pelo coronavírus https://t.co/4QNX8IQWh8 150 #ariquemesonline #ultimasn…,49
9:10:47,20380673,Covid-19. Região de Madrid estuda possibilidade de recolher obrigatório https://t.co/UcTZv0qZmy,50
9:10:47,3310858233,"RT @OsmarTerra: Argentina, fechada na quarentena mais longa e radical do mundo, disparou no aumento % de mortes por Covid,quadruplicando es…",51
9:10:48,2778765463,"Vacina com pesquisa científica e protocolo não obrigatória, cloroquina incentivado sem comprovação ciebtifica do re… https://t.co/rELtBYZ688",52
9:10:50,126390210,Maguito testa positivo para coronavírus https://t.co/wctFcdazO3,53
9:10:54,971273092055093248,MA é o único estado do país a ultrapassar a marca de 120 dias com ritmo de contágio pela Covid-19 abaixo de 1 https://t.co/cs0FUKidQh,54
9:11:3,1125479023847583745,"Paciente internado com covid pode ter sintomas por meses, diz estudo - https://t.co/5AJV27GAQ0 https://t.co/gTr3ykOv03",55
9:11:8,554182536,COVID-19 | Pfizer pode buscar aprovação de emergência para vacina em novembro https://t.co/PVo6ucwsFi,56
9:11:12,2172262828,"""Não será obrigatória e ponto final"", diz #Bolsonaro sobre vacina chinesa - @JornalGGN   @jairbolsonaro foi gravado… https://t.co/KmmwwDPBl9",57
9:11:18,56539632,"Letalidade menor da Covid-19 eleva dúvidas sobre confinamentos, diz epidemiologista - https://t.co/u8GdQNvvrb https://t.co/iIDIDV6Y1s",58
9:11:21,779329771733917702,"Acabei de ver Não será obrigatória e ponto final, diz Bolsonaro sobre vacina contra covid-19 ENTENDEU POVO PAULISTA… https://t.co/6GkTeXGPBl",59
9:11:25,1104191960439500801,"RT @OsmarTerra: Argentina, fechada na quarentena mais longa e radical do mundo, disparou no aumento % de mortes por Covid,quadruplicando es…",60
9:11:36,1255958341362343938,Mulher de 38 anos testa positivo para Covid-19 em Jandaia do Sul https://t.co/InUf3tIHAk,61
9:11:43,302981627,"Medicamento pode reduzir em 95% carga viral da covid-19, diz ministro https://t.co/3uP6NNeih9",62
9:11:55,191068627,RT @Astro_Pontes: A comprovação científica da eficácia da Nitazoxanida na redução da carga viral para tratamento precoce da covid é uma not…,63
9:11:59,2778765463,RT @Cileidealves: Maguito está mesmo com covid-19,64
9:12:17,82350646,Covid-19: Formação de futebol do Tondela com 22 casos positivos https://t.co/ggZQya2K0G https://t.co/NkoIwlQzRU,65
9:12:25,1458237528,"RT @oatila: ""O problema com normalizar mortes é esse: permite mais mortes. Torna fácil pros horrores das mortes pelo vírus saírem do notici…",66
9:12:36,54204132,RT @JornalismoTl: RN tem mil novos casos de Covid-19 confirmados nas últimas 24 h - https://t.co/c1Olcctysj https://t.co/tCgyj8ciru,67
9:12:43,241421596,RT @dimacgarcia: Vocês não tem a noção da importância desse resultado do novo medicamento contra o covid.  Isso salvará o Brasil de um novo…,68
9:12:46,215284578,Saiba qual é o risco de contrair Covid-19 em uma viagem de avião https://t.co/Gl75b0s80M,69
9:12:46,191068627,"RT @Astro_Pontes: Enquanto isso, se contrairem covid, lembrem-se da conclusão dos estudos apresentada hoje. Isso é o importante. Nota: obvi…",70
9:12:46,766160622,"Após testes, medicamento Nitazoxanida mostra eficácia na redução da carga viral da Covid-19. https://t.co/qWTvNLEn8o",71
9:12:47,67575722,Covid-19: ocupação dos leitos públicos de UTI se aproxima dos 60% - https://t.co/NMuSrCIL1b https://t.co/owE2uXBzoc,72
9:12:58,20781852,Covid-19: Teste obrigatório à chegada à Madeira mesmo para viagens inferiores a 72 horas https://t.co/iPLAgsqy4M,73
9:13:1,171656880,"RT @jdoriajr: Em São Paulo seguimos a saúde, respeitamos a ciência e fazemos o que é certo, não o que é fácil. Os dados mostram que estamos…",74
9:13:13,70134660,RT @DeputadoFederal: Mais uma vez sem comprovação.   https://t.co/yRV48fw6ul,75
9:13:27,38846750,Segunda (19) Coronavírus: Brasil tem mais 15 mil casos em 24h https://t.co/4xYHsqci7x,76
9:13:29,1148318806303027205,"Mesmo com quarentena mais longa do mundo, Argentina supera marca de 1 milhão de casos de Covid-19… https://t.co/q9vvQeXjE7",77
9:13:36,39566949,Bruno Reis defende vacina obrigatória contra Covid-19 e diz que ‘estão politizando a questão’ https://t.co/8rn2Gpjf5B,78
