12:3:0,BIZO CLOROQUINA  O presidente Jair Bolsonaro esclarece de uma vez por todas e tira todas as dúvidas sobre o uso da… https://t.co/Q6fyMZ0ezw,41
12:3:2,Covid-19: Governo angolano “desagradado” com suspensão de aulas presenciais na Escola Portuguesa de Luanda -… https://t.co/rRw7JHE30q,42
12:3:13,"“Isso é um verdadeiro absurdo! Nós não somos contra uma vacina para que as pessoas fiquem imunes à Covid-19, nós so… https://t.co/tcwJfVsRf4",43
12:3:16,"Sine Manaus, oferece nesta segunda-feira (19), 23 vagas de emprego. Em virtude da pandemia da Covid-19, os postos d… https://t.co/pd8QB2X6uZ",44
12:3:19,"Mundo tem mais de 40 milhões de casos de coronavírus, aponta universidade americana | Coronavírus | G1 https://t.co/7981dA9tkR",45
12:3:23,"Jornalistas como  a Monalisa Perrone e Gabriela priori, da CNN. O filósofo, Leandro Karnal. Governadores e vários p… https://t.co/vifvgZJQQ4",46
12:3:33,"Nas imagens, divulgadas pela própria cantora Mariana Fagundes, é possível ver centenas de pessoas próximas e sem o… https://t.co/ha0Lq22CYA",47
12:3:35,@oatila Parece q o seu planeta é aquele que vc avalizada estudos previa 1 milhão de mortos com COVID ou estamos enganados? 🤔,48
12:3:37,"RT @IsoldaBolsonaro: EU tomei Ivermectina como ação preventiva ao COVID19, seguindo o protocolo duas x no intervalo de 15 dias.   E você? 🤔…",49
12:4:6,RT @portalR7: Brasil registra primeiro caso confirmado de covid-19 em gato https://t.co/CyNWpwdSUr https://t.co/Uq8eA2szt6,50
12:4:29,"Previsão de 1 milhão de cópias vendidas, ouvi dizer rs",51
12:4:57,"Pessoal, infelizmente o Ministério da Saúde colocou a planilha de ontem da COVID com a data de hoje, sem atualizaçã… https://t.co/ag7ZXvhd4i",52
12:4:59,RT @IvanValente: O delinquente q ocupa a presidência declarou q “a vacinação de COVID ñ será obrigatória e ponto final”.Alem de atender a t…,53
12:5:30,Covid: SES divulga mais quatro mortes e 367 novos casos em Mato Grosso do Sul https://t.co/3ymxeEW0Zu,54
12:5:50,"Recuperado da Covid, Elano volta a comandar Figueirense na Série B https://t.co/E6RndOD2Oh https://t.co/tjsYEe64FU",55
12:6:4,BOZO CLOROQUINA  O presidente Jair Bolsonaro esclarece de uma vez por todas e tira todas as dúvidas sobre o uso da… https://t.co/WS7Zl4iX8h,56
12:6:12,"Dior, Prada e outros titãs da moda se rendem ao fetiche por estilo Covid https://t.co/FzXGJuhjhF https://t.co/A2dhaxBfDq",57
12:6:15,Concorda com a obrigatoriedade da app STAYAWAY COVID? https://t.co/GzVKVW02Rw https://t.co/oblYp7oTuP,58
12:6:34,Que legal! Sem mascara e aglomeracao. De onde vai sair dinheiro pra cuidar da covid desses imbecis?,59
12:6:35,Jorge Aragão está internado na UTI com covid-19 https://t.co/Igitc7lbsS,60
